AY,Institution,Position,Address,Link,TrackType,DateAdded,DateAdded2,Description,,,
2012-2013,Inst Universitaire de Tech de Dijon,Lecteur Université de Bourgogne [18714],"7 Bd Dr Petitjean, 21078 Dijon, France",,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"SU of New York, U, Albany",Director of Undergraduate Writing [18645],"Albany, NY 12222",,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"SU of New York, U, Albany",Lecturers- Writing and Critical Inquiry [18978],"Albany, NY 12222",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Iowa SU,"Assistant Professor, Director of Public Speaking [18187]","Ames, IA 50011",http://engl.iastate.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Massachusetts, Amherst","Deputy Director, Writing Program [18943]","Amherst, MA 01003",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Michigan,Lecturer III [18688],"Ann Arbor, MI 48109",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Humboldt SU,Tenure-track Faculty: English Rhetoric & Composition [17403],"Arcata, CA 95521",http://apptrkr.com/262903,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of North Carolina, Asheville","Tenure Track Position, Literature at UNC Asheville [17774]","Asheville, NC 28804",http://literature.unca.edu/,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,U of Georgia,"Lecturer, English [18730]","Athens, GA 30602",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Ohio U,Visiting Lecturer of Linguistics and English [19072],"Athens, OH 45701",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Georgia Tech,Marion L. Brittain Postdoctoral Fellowship [18533],"Atlanta, GA 30332",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Auburn U,Assistant Director of U Writing for the Miller Writing Center [17806],"Auburn, AL 36849",http://auburn.edu/writing,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Georgia Regents U,English Studies Lecturer [18661],"Augusta, GA 30904",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,"U of Maine, Augusta",English/Writing Lab Coordinator [18425],"Augusta, ME 04330",,NTT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Azusa Pacific U,Assistant or Associate Professor [18709],"Azusa, CA 91702",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Loyola U Maryland,"Assistant Professor, Writing [17963]","Baltimore, MD 21210",http://www.Click2apply.net/4fzvfxj,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Maryland Inst C of Art,"ESL (Humanistic Studies), Full-time Faculty [18602]","Baltimore, MD 21217",,Unavailable,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Morgan SU,Assistant/Associate/Professor of English [18741],"Baltimore, MD 21251",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Morgan SU,Assistant/Associate/Professor of English [18810],"Baltimore, MD 21251",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Louisiana SU & A&M C,"Assistant Professor (Second-Language Acquisition, Multilingualism, Rhetoric and Composition) [18276]","Baton Rouge, LA 70803",http://english.lsu.edu,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Lamar U,Assistant Professor - English & Modern Language 498909 [18646],"Beaumont, TX 77710",,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,American U of Beirut,"Assistant Professor, Rhetoric/Composition [18139]","Beirut, Lebanon 1107 2020",http://www.aub.edu.lb/fas,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Western Washington U,Assistant Professor of Writing Studies [17434],"Bellingham, WA 98225",https://jobs.wwu.edu/JobPosting.aspx?JPID=3663,TT,01/01/1900,1900-01-01,Unavailable,,,
2012-2013,Bemidji SU,Assistant or Associate Professor of English [18875],"Bemidji, MN 56601",,TT,01/01/1900,1900-01-01,Unavailable,,,
