original_address,lat,lon,formatted,postcode,city,county,state,state_code,country,country_code
"Albany, NY 12222",42.6511674,-73.754968,"Albany, NY, United States of America",,Albany,Albany County,New York,NY,United States,us
"Ames, IA 50011",42.02640382,-93.64542714,"Ames, IA 50011, United States of America",50011,Ames,Story County,Iowa,IA,United States,us
"Amherst, MA 01003",42.39006521,-72.52671956,"Amherst, MA 01003, United States of America",01003,Amherst,Hampshire County,Massachusetts,MA,United States,us
"Ann Arbor, MI 48109",42.28324982,-83.72826274,"Ann Arbor, MI 48109, United States of America",48109,Ann Arbor,Washtenaw County,Michigan,MI,United States,us
"Arcata, CA 95521",40.866517,-124.08284,"Arcata, CA 95521, United States of America",95521,Arcata,Humboldt County,California,CA,United States,us
"Asheville, NC 28804",35.63791799,-82.56445064,"Asheville, NC 28804, United States of America",28804,Asheville,Buncombe County,North Carolina,NC,United States,us
"Athens, GA 30602",33.9597677,-83.376398,"Athens, GA, United States of America",,Athens,Athens-Clarke County,Georgia,GA,United States,us
"Athens, OH 45701",39.3289242,-82.1012479,"Athens (Athens), OH 45701, United States of America",45701,Athens,Athens County,Ohio,OH,United States,us
"Atlanta, GA 30332",33.77241286,-84.39263094,"Atlanta, GA 30332, United States of America",30332,Atlanta,Fulton County,Georgia,GA,United States,us
"Auburn, AL 36849",32.59703504,-85.49509281,"Auburn, AL 36849, United States of America",36849,Auburn,Lee County,Alabama,AL,United States,us
"Augusta, GA 30904",33.47526536,-82.00915834,"Augusta, GA 30904, United States of America",30904,Augusta,Richmond County,Georgia,GA,United States,us
"Augusta, ME 04330",44.3169922,-69.7734278,"Augusta, ME 04330, United States of America",04330,Augusta,Kennebec County,Maine,ME,United States,us
"Azusa, CA 91702",34.12706795,-117.9063087,"Azusa, CA 91702, United States of America",91702,Azusa,Los Angeles County,California,CA,United States,us
"Baltimore, MD 21210",39.35509687,-76.63386451,"Baltimore, MD 21210, United States of America",21210,Baltimore,,Maryland,MD,United States,us
"Baltimore, MD 21217",39.3066798,-76.64006896,"Baltimore, MD 21217, United States of America",21217,Baltimore,,Maryland,MD,United States,us
"Baltimore, MD 21251",39.34486675,-76.58445685,"Baltimore, MD 21251, United States of America",21251,Baltimore,,Maryland,MD,United States,us
"Baton Rouge, LA 70803",30.40957027,-91.17988389,"Baton Rouge, LA 70803, United States of America",70803,Baton Rouge,East Baton Rouge Parish,Louisiana,LA,United States,us
"Beaumont, TX 77710",30.04299075,-94.0743157,"Beaumont, TX 77710, United States of America",77710,Beaumont,Jefferson County,Texas,TX,United States,us
"Beirut, Lebanon 1107 2020",33.85232175,35.5483637,"Baabda 11072020, Lebanon",11072020,Baabda,,Mount Lebanon Governorate,,Lebanon,lb
"Bellingham, WA 98225",48.74970809,-122.4795537,"Bellingham, WA 98225, United States of America",98225,Bellingham,Whatcom County,Washington,WA,United States,us
"Bemidji, MN 56601",47.4785418,-94.8907869,"Bemidji (Bemidji), MN 56601, United States of America",56601,Bemidji,Beltrami County,Minnesota,MN,United States,us
"Birmingham, AL 35294",33.49970662,-86.81193706,"Birmingham, AL 35294, United States of America",35294,Birmingham,Jefferson County,Alabama,AL,United States,us
"Blacksburg, VA 24060",37.23192863,-80.43108514,"Blacksburg, VA 24060, United States of America",24060,Blacksburg,Montgomery County,Virginia,VA,United States,us
"Bloomington, IN 47405",39.16793776,-86.51958811,"Bloomington, IN 47405, United States of America",47405,Bloomington,Monroe County,Indiana,IN,United States,us
"Bluffton, SC 29909",32.2930321,-80.92819548,"Beaufort County, SC 29909, United States of America",29909,,Beaufort County,South Carolina,SC,United States,us
