date,datetimeObj,TT,NTT,Unavailable,Total,Overall_EMA
09/15/2012,2012-09-15,0,1,0,1,1.0
01/15/2013,2013-01-15,0,1,0,1,1.0
01/20/2013,2013-01-20,0,1,0,1,1.0
01/23/2013,2013-01-23,2,0,0,2,1.3657142857142857
01/24/2013,2013-01-24,1,0,0,1,1.2458386683738796
01/28/2013,2013-01-28,1,1,0,2,1.4752004752004753
02/01/2013,2013-02-01,1,0,0,1,1.3380995985067268
02/03/2013,2013-02-03,0,1,0,1,1.2441712590080543
02/04/2013,2013-02-04,1,0,0,1,1.1781729845212219
02/13/2013,2013-02-13,0,1,0,1,1.1309716662607487
08/15/2013,2013-08-15,3,0,0,3,1.618833667690857
08/16/2013,2013-08-16,2,0,0,2,1.717242483045592
08/19/2013,2013-08-19,0,1,0,1,1.5335682654023326
08/21/2013,2013-08-21,2,0,0,2,1.6522916053509482
08/23/2013,2013-08-23,1,0,0,1,1.4870099693143408
08/26/2013,2013-08-26,1,1,0,2,1.6165558631113424
08/27/2013,2013-08-27,1,0,0,1,1.4612494674165404
08/28/2013,2013-08-28,1,0,0,1,1.3452833170234921
08/30/2013,2013-08-30,2,1,0,3,1.760719067516718
09/01/2013,2013-09-01,4,0,0,4,2.3223202570346575
09/02/2013,2013-09-02,1,0,0,1,1.9909520636978235
09/03/2013,2013-09-03,7,0,0,7,3.245451832886428
09/04/2013,2013-09-04,2,0,0,2,2.933671758121442
09/05/2013,2013-09-05,1,0,0,1,2.4497682740559927
09/06/2013,2013-09-06,9,0,0,9,4.088559467133644
09/08/2013,2013-09-08,1,0,0,1,3.3159835526374404
09/09/2013,2013-09-09,3,3,1,7,4.237377695866449
09/10/2013,2013-09-10,3,1,0,4,4.178014425291946
09/11/2013,2013-09-11,1,0,0,1,3.383321595093413
09/12/2013,2013-09-12,0,1,0,1,2.7873847726767034
09/13/2013,2013-09-13,4,1,0,5,3.340612676954142
09/14/2013,2013-09-14,3,0,0,3,3.2554509530138582
09/15/2013,2013-09-15,2,1,0,3,3.1915834030226526
09/16/2013,2013-09-16,4,0,0,4,3.393698972704068
09/17/2013,2013-09-17,1,2,0,3,3.295270058271382
09/18/2013,2013-09-18,3,0,0,3,3.2214501974296645
09/19/2013,2013-09-19,3,0,0,3,3.1660863283176655
09/20/2013,2013-09-20,6,0,0,6,3.874577412906566
09/23/2013,2013-09-23,3,0,0,3,3.6559301278865353
09/24/2013,2013-09-24,1,0,0,1,2.9919409184508705
09/25/2013,2013-09-25,1,1,0,2,2.74395381841061
09/26/2013,2013-09-26,1,0,0,1,2.307962897481805
09/27/2013,2013-09-27,0,2,0,2,2.2309718464674373
09/30/2013,2013-09-30,3,0,0,3,2.42322949660796
10/01/2013,2013-10-01,3,0,0,3,2.567422466568859
10/02/2013,2013-10-02,3,0,0,3,2.675567043489875
10/03/2013,2013-10-03,1,1,1,3,2.7566753914966093
10/04/2013,2013-10-04,3,1,0,4,3.0675068565657284
10/07/2013,2013-10-07,3,1,0,4,3.300630318454783
10/08/2013,2013-10-08,3,2,0,5,3.725472979438687
10/09/2013,2013-10-09,3,0,0,3,3.544104657544409
10/10/2013,2013-10-10,1,1,0,2,3.158078370187343
10/11/2013,2013-10-11,3,1,0,4,3.3685588279278558
10/12/2013,2013-10-12,1,0,0,1,2.776419014841714
10/14/2013,2013-10-14,1,0,0,1,2.3323142014476916
10/15/2013,2013-10-15,3,1,0,4,2.7492356931085733
10/16/2013,2013-10-16,2,0,0,2,2.5619267556718452
10/17/2013,2013-10-17,2,0,0,2,2.421445058789118
10/18/2013,2013-10-18,1,1,0,2,2.3160837896116577
10/21/2013,2013-10-21,2,2,0,4,2.7370628556344236
10/22/2013,2013-10-22,4,1,0,5,3.302797155257431
10/23/2013,2013-10-23,1,0,0,1,2.7270978561156007
10/24/2013,2013-10-24,0,2,0,2,2.545323389641061
10/25/2013,2013-10-25,2,0,0,2,2.4089925408551234
10/27/2013,2013-10-27,1,0,0,1,2.056744402975523
10/28/2013,2013-10-28,1,0,0,1,1.7925583007321184
10/29/2013,2013-10-29,6,1,0,7,3.0944187310911215
10/31/2013,2013-10-31,1,1,0,2,2.8208140474447876
11/01/2013,2013-11-01,4,2,0,6,3.6156105374867846
11/03/2013,2013-11-03,0,0,1,1,2.9617079019407275
11/04/2013,2013-11-04,3,0,0,3,2.97128092646844
